epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.4352267208676901,0.7895962732919255,0.42606516290726815,0.8018867924528302,0.5564648117839607,0.29560265430937643,0.8405797101449275,0.5061728395061729,0.9111111111111111,0.6507936507936508
2,0.3431182957213858,0.8781055900621118,0.5945017182130584,0.8160377358490566,0.6878727634194831,0.14485142405644275,0.9492753623188406,0.7818181818181819,0.9555555555555556,0.86
3,0.2852808202830901,0.8967391304347826,0.6479400749063671,0.8160377358490566,0.7223382045929019,0.37000490931551094,0.927536231884058,0.9629629629629629,0.5777777777777777,0.7222222222222221
4,0.2605336140725553,0.9021739130434783,0.6546762589928058,0.8584905660377359,0.7428571428571429,0.11222380601490538,0.9456521739130435,0.7678571428571429,0.9555555555555556,0.8514851485148515
5,0.2161272711450269,0.9169254658385093,0.6816608996539792,0.9292452830188679,0.7864271457085829,0.15189425015747818,0.9528985507246377,0.82,0.9111111111111111,0.8631578947368421
6,0.2618705822698633,0.922360248447205,0.7276422764227642,0.8443396226415094,0.7816593886462883,0.3431486595907937,0.9420289855072463,0.8717948717948718,0.7555555555555555,0.8095238095238095
7,0.2365664199850759,0.9122670807453416,0.6787003610108303,0.8867924528301887,0.7689161554192229,0.13804388057062592,0.967391304347826,0.8913043478260869,0.9111111111111111,0.9010989010989011
8,0.19449065217273945,0.9355590062111802,0.7590361445783133,0.8915094339622641,0.8199566160520607,0.13121670664396082,0.9601449275362319,0.84,0.9333333333333333,0.8842105263157894
9,0.18850696778723172,0.9301242236024845,0.732824427480916,0.9056603773584906,0.810126582278481,0.13963963546405506,0.9384057971014492,0.7333333333333333,0.9777777777777777,0.838095238095238
10,0.13472714991256687,0.9541925465838509,0.825531914893617,0.9150943396226415,0.8680089485458613,0.1837037969243534,0.927536231884058,0.711864406779661,0.9333333333333333,0.8076923076923076
